,srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
37,59.166.0.2,42541,149.171.126.8,80,tcp,FIN,1.014108,1580,10168,31,29,3,5,http,11430.73535,75763.14063,12,18,255,255,3223196652,3228430486,132,565,1,3924,9530.229923,7674.383870999999,1421927828,1421927829,92.159361,59.61888100000001,0.000714,0.000582,0.000132,0,0,1,0,0,3,2,1,2,1,1,1,,0
38,59.166.0.0,46429,149.171.126.2,80,tcp,FIN,1.004768,1580,10168,31,29,3,5,http,11536.99121,76467.40625,12,18,255,255,3107390274,3104177024,132,565,1,3924,9528.234274,7674.874094,1421927828,1421927829,91.308909,59.07147,0.000704,0.00055,0.000154,0,0,1,0,0,2,1,2,3,1,1,1,,0
39,59.166.0.6,60872,149.171.126.0,80,tcp,FIN,1.142058,1580,10168,31,29,3,5,http,10150.09766,67275.03906,12,18,255,255,3887389575,3884213496,132,565,1,3924,9763.488355,7860.742255,1421927829,1421927830,103.791997,67.15164399999999,0.0006490000000000001,0.00047599999999999997,0.000173,0,0,1,0,0,3,2,1,1,1,1,1,,0
40,59.166.0.1,25820,149.171.126.9,80,tcp,FIN,1.13866,18786,1087890,31,29,2,370,http,131614.3594,7633056.5,352,746,255,255,1797807803,1798879004,53,1458,1,524288,190.70401299999997,115.51919199999999,1421927829,1421927830,3.2430849999999998,1.527619,0.0006929999999999999,0.000579,0.00011399999999999999,0,0,1,0,0,2,2,2,2,2,1,1,,0
41,59.166.0.1,1898,149.171.126.1,80,tcp,FIN,1.006897,1580,10168,31,29,3,5,http,11512.59766,76305.71875,12,18,255,255,1557809558,1558842162,132,565,1,3924,9531.600495,7675.945878,1421927829,1421927830,91.50063399999999,59.194415,0.000749,0.000588,0.000161,0,0,1,0,0,2,2,2,2,2,1,1,,0
42,59.166.0.0,50178,149.171.126.8,80,tcp,FIN,1.2209649999999999,1684,10168,31,29,3,5,http,10247.63184,62927.27344,14,18,255,255,4067389862,1933834641,120,565,1,3924,8858.302184999999,7760.370422,1421927829,1421927830,93.88446400000001,71.79288199999999,0.000642,0.000482,0.00016,0,0,1,0,0,2,2,2,4,1,1,1,,0
43,59.166.0.4,64873,149.171.126.1,80,tcp,FIN,1.039822,1580,10168,31,29,3,5,http,11148.0625,73889.57031,12,18,255,255,3763194692,3764252525,132,565,1,3924,9536.350204999999,7679.524581000001,1421927829,1421927830,94.495364,61.132879,0.0007160000000000001,0.000559,0.000157,0,0,1,0,0,2,2,2,2,1,1,1,,0
44,59.166.0.8,33622,149.171.126.6,80,tcp,FIN,1.174108,1684,10168,31,29,3,5,http,10656.60059,65438.61328,14,18,255,255,1857813739,1858845894,120,565,1,3924,9078.570044,7952.249004,1421927829,1421927830,90.287536,69.030824,0.001741,0.00058,0.001161,0,0,1,0,0,1,2,1,1,1,1,1,,0
45,175.45.176.3,36181,149.171.126.12,80,tcp,FIN,0.858001,1152,354,254,252,2,1,http,9668.986328,2890.439453,10,8,255,255,1232195171,3781984237,115,44,1,0,5717.543847,165.125375,1421927829,1421927830,91.357111,105.17985900000001,0.22093600000000002,0.12173199999999999,0.099204,0,1,1,0,0,1,1,2,2,1,1,1,Exploits,1
46,59.166.0.4,45878,149.171.126.9,80,tcp,FIN,1.133759,1684,10168,31,29,3,5,http,11035.85449,67767.48438,14,18,255,255,130324775,2280948091,120,565,1,3924,8833.661291,7734.431073000001,1421927830,1421927831,87.183769,66.65794100000001,0.0007160000000000001,0.00057,0.000146,0,0,1,0,0,2,2,3,3,1,1,1,,0
47,59.166.0.0,12281,149.171.126.7,80,tcp,FIN,1.199829,1684,10168,31,29,3,5,http,10428.15234,64035.79297,14,18,255,255,250325525,2396773907,120,565,1,3924,8853.524485,7751.73595,1421927830,1421927831,92.261615,70.542353,0.000758,0.000605,0.000153,0,0,1,0,0,2,1,1,1,1,1,1,,0
48,59.166.0.7,21098,149.171.126.3,80,tcp,FIN,1.057744,1580,10168,31,29,3,5,http,10959.17285,72637.60938,12,18,255,255,550325362,2701022170,132,565,1,3924,9544.421572,7686.287981,1421927831,1421927832,96.12682,62.18829100000001,0.000679,0.000539,0.00014,0,0,1,0,0,1,1,5,1,1,1,1,,0
49,175.45.176.2,14363,149.171.126.14,80,tcp,FIN,1.6392360000000001,884,29224,62,252,2,11,http,3957.9414060000004,137137.0625,12,26,255,255,1191084420,2974056690,74,1124,0,0,9699.929799,8358.993,1421927831,1421927833,149.021457,62.58556,0.156866,0.07396799999999999,0.082898,0,1,0,0,0,1,1,1,2,1,1,1,Exploits,1
50,59.166.0.3,65116,149.171.126.6,80,tcp,FIN,1.0059559999999999,1580,10168,31,29,3,5,http,11523.36621,76377.09375,12,18,255,255,1630325678,3776745237,132,565,1,3924,9530.400791,7674.42505,1421927832,1421927833,91.418638,59.138705,0.0007469999999999999,0.000594,0.000153,0,0,1,0,0,1,2,4,2,1,1,1,,0
51,59.166.0.6,14670,149.171.126.0,80,tcp,FIN,1.005868,1580,10168,31,29,3,5,http,11524.375,76383.78125,12,18,255,255,3539907350,1391328246,132,565,1,3924,9530.18363,7676.112418000001,1421927832,1421927833,91.410912,59.140356000000004,0.0006219999999999999,0.000479,0.000143,0,0,1,0,0,3,2,5,3,2,1,1,,0
52,59.166.0.6,15483,149.171.126.8,80,tcp,FIN,1.073783,1580,10168,31,29,3,5,http,10795.47656,71552.63281,12,18,255,255,3595712014,1451358559,132,565,1,3924,9554.524148,7693.359740999999,1421927832,1421927833,97.58318299999999,63.12794,0.0007599999999999999,0.000604,0.000156,0,0,1,0,0,3,2,1,3,2,1,1,,0
53,59.166.0.0,58612,149.171.126.9,80,tcp,FIN,1.1090280000000001,1580,10168,31,29,3,5,http,10452.39648,69278.6875,12,18,255,255,3839906459,3840927670,132,565,1,3924,9583.810701,7717.848909,1421927832,1421927834,100.787635,65.201178,0.000767,0.000603,0.000164,0,0,1,0,0,3,2,6,1,1,1,1,,0
54,59.166.0.4,22888,149.171.126.1,80,tcp,FIN,0.004201,1058,822,31,29,2,2,http,1763389.625,1409188.25,8,10,255,255,2772423439,2769288724,132,82,1,82,34.759623,0.744476,1421927834,1421927834,0.5464289999999999,0.40255599999999997,0.0007440000000000001,0.0005740000000000001,0.00016999999999999999,0,0,1,0,0,1,2,3,9,1,1,1,,0
55,59.166.0.6,42038,149.171.126.9,80,tcp,FIN,1.005794,1684,10168,31,29,3,5,http,12439.92285,76389.39844,14,18,255,255,82842098,2233544728,120,565,1,3924,8765.812045,7675.473720999999,1421927833,1421927834,77.33769000000001,59.126118000000005,0.000782,0.000646,0.000136,0,0,1,0,0,2,2,6,4,1,1,1,,0
56,59.166.0.2,39621,149.171.126.5,80,tcp,FIN,0.057257,1058,822,31,29,2,2,http,129381.5625,103393.4688,8,10,255,255,3428229255,1286823400,132,82,1,82,475.41443300000003,11.556687,1421927835,1421927835,8.123,6.307889,0.000614,0.000482,0.000132,0,0,1,0,0,1,1,3,6,1,1,1,,0
57,59.166.0.1,10533,149.171.126.6,80,tcp,FIN,1.004892,1580,10168,31,29,3,4,http,11535.56836,76457.96875,12,18,255,255,262841093,2409294958,132,565,1,0,9528.558573999999,7674.667038,1421927834,1421927835,91.31790600000001,59.077881000000005,0.0007030000000000001,0.0005639999999999999,0.000139,0,0,1,0,0,1,1,5,1,1,1,1,,0
58,59.166.0.6,27257,149.171.126.2,80,tcp,FIN,1.006145,1684,10168,31,29,3,5,http,12435.58301,76362.75,14,18,255,255,562848760,564016962,120,565,1,3924,8765.826404000001,7674.900231999999,1421927834,1421927835,77.364308,59.150353,0.000727,0.000585,0.00014199999999999998,0,0,1,0,0,2,2,1,3,1,1,1,,0
59,59.166.0.0,52589,149.171.126.7,80,tcp,FIN,0.004007999999999999,1042,824,31,29,2,2,http,1820359.375,1481038.0,8,10,255,255,3132422959,984311503,130,82,1,83,33.547478000000005,0.71527,1421927835,1421927835,0.522714,0.385778,0.000671,0.000535,0.000136,0,0,1,0,0,3,1,2,3,1,1,1,,0
60,59.166.0.9,29798,149.171.126.1,80,tcp,FIN,1.019535,1684,10168,31,29,3,5,http,12272.26172,75359.85156,14,18,255,255,3072421380,3073362135,120,565,1,3924,8770.670168,7698.331989,1421927835,1421927836,78.396079,59.943118000000005,0.000637,0.000499,0.000138,0,0,1,0,0,1,2,2,6,1,1,2,,0
61,59.166.0.3,2995,149.171.126.2,80,tcp,FIN,1.214879,19410,1087890,31,29,2,370,http,127466.1875,7154174.0,364,746,255,255,1102841163,1104349572,53,1458,1,524288,180.09224,105.25423799999999,1421927835,1421927836,3.345799,1.630017,0.000637,0.000513,0.000124,0,0,1,0,0,1,2,3,1,1,1,1,,0
62,59.166.0.0,11584,149.171.126.0,80,tcp,FIN,1.17503,1684,10168,31,29,3,5,http,10648.23926,65387.265629999994,14,18,255,255,1402840830,3549255127,120,565,1,3924,10078.24007,8826.840139,1421927836,1421927837,90.359925,69.086706,0.000692,0.000552,0.00014,0,0,1,0,0,3,1,1,5,1,1,1,,0
63,175.45.176.0,14593,149.171.126.15,80,tcp,FIN,1.061943,868,354,254,252,2,1,http,5891.087890999999,2335.341797,10,8,255,255,65172932,2645618334,87,44,1,0,6342.566,229.96842200000003,1421927837,1421927838,117.99366699999999,137.285719,0.199776,0.100128,0.099648,0,1,1,0,0,3,3,1,2,1,1,1,Reconnaissance,1
64,59.166.0.6,6322,149.171.126.1,80,tcp,FIN,1.006885,1684,10168,31,29,3,4,http,12426.44336,76306.625,14,18,255,255,155357813,2306045419,120,565,1,3924,8765.689694,7674.982701000001,1421927837,1421927838,77.356844,59.184532,0.0008869999999999999,0.0007440000000000001,0.000143,0,0,1,0,0,2,1,3,4,1,1,1,,0
65,59.166.0.7,41429,149.171.126.6,80,tcp,FIN,1.076942,1684,10168,31,29,3,5,http,11618.08203,71342.75,14,18,255,255,2480744363,336422424,120,565,1,3924,8788.037876,7695.824890999999,1421927837,1421927838,82.812925,63.315176,0.000715,0.000579,0.000136,0,0,1,0,0,2,1,6,5,1,1,1,,0
66,59.166.0.0,31177,149.171.126.3,80,tcp,FIN,1.102914,1580,10168,31,29,3,5,http,10510.33887,69662.73438,12,18,255,255,2002842524,4149234864,132,565,1,3924,9574.702256999999,7726.075603,1421927837,1421927838,100.232543,64.843765,0.0007099999999999999,0.0005650000000000001,0.000145,0,0,1,0,0,1,2,3,2,1,1,1,,0
67,59.166.0.1,9874,149.171.126.3,80,tcp,FIN,0.029611000000000002,1042,824,31,29,2,2,http,246394.9219,200466.0313,8,10,255,255,1355358264,1358359943,130,82,1,83,231.273194,5.899951000000001,1421927839,1421927839,4.176286,2.954444,0.00321,0.003017,0.000193,0,0,1,0,0,1,2,1,3,1,1,1,,0
68,175.45.176.0,29198,149.171.126.15,80,tcp,FIN,0.625434,788,10948,62,252,2,4,http,9081.694336,130034.5078,10,14,255,255,384640826,2715839496,79,782,1,0,3620.06864,3073.4878559999997,1421927839,1421927840,69.470556,40.924462,0.155445,0.093415,0.062029999999999995,0,1,1,0,0,3,3,1,3,2,1,1,Exploits,1
69,175.45.176.0,26413,149.171.126.12,80,tcp,FIN,0.642551,792,2086,62,252,2,2,http,8877.116211,22734.38281,10,8,255,255,1123674608,1770897882,79,261,0,0,3488.0386320000002,110.41863300000001,1421927839,1421927840,71.39455600000001,82.29943,0.157888,0.06567200000000001,0.09221599999999999,0,1,0,0,0,3,1,2,3,2,1,2,Exploits,1
70,59.166.0.3,3675,149.171.126.8,80,tcp,FIN,1.033686,1684,10168,31,29,3,5,http,12104.25586,74328.17969,14,18,255,255,1175357575,3326014140,120,565,1,3924,8764.992001999999,7677.792707,1421927839,1421927840,79.487305,60.772059,0.0007,0.000557,0.000143,0,0,1,0,0,1,1,3,5,1,1,1,,0
71,59.166.0.7,50801,149.171.126.0,80,tcp,FIN,1.113728,1684,10168,31,29,3,5,http,11234.34082,68986.32031,14,18,255,255,3144938626,3141821619,120,565,1,3924,8814.792986,7719.114390000001,1421927838,1421927840,85.644077,65.480412,0.000692,0.000557,0.000135,0,0,1,0,0,2,1,2,3,1,1,1,,0
72,59.166.0.6,15926,149.171.126.2,80,tcp,FIN,1.008731,1684,10168,31,29,3,5,http,12403.70313,76166.98438,14,18,255,255,3564943277,3561762076,120,565,1,3924,8765.244915000001,7674.837981000001,1421927839,1421927840,77.568998,59.285529000000004,0.001009,0.000875,0.000134,0,0,1,0,0,2,1,2,4,1,1,1,,0
73,175.45.176.2,2479,149.171.126.13,80,tcp,FIN,1.136681,808,5040,62,252,2,3,http,5123.689453,32515.7207,10,12,255,255,2067746925,687934058,81,420,1,2024,6688.828587,7270.456252,1421927840,1421927841,126.29788899999998,92.803547,0.198022,0.11514,0.08288200000000001,0,1,1,0,0,1,1,2,2,1,1,2,Exploits,1
74,175.45.176.3,18395,149.171.126.15,80,tcp,FIN,0.995199,896,1158,62,252,2,2,http,6487.144531,8384.25293,10,10,255,255,2630993627,1114898481,90,116,0,0,6158.413661,172.071406,1421927841,1421927842,110.56944399999999,101.174336,0.172031,0.084622,0.087409,0,1,0,0,0,1,3,1,1,1,1,1,Exploits,1
75,59.166.0.6,8453,149.171.126.7,80,tcp,FIN,1.007833,1684,10168,31,29,3,5,http,12414.75488,76234.85156,14,18,255,255,227875505,2374425145,120,565,1,3924,8766.099059999999,7676.404627,1421927841,1421927842,77.49669,59.24329399999999,0.000837,0.0006929999999999999,0.000144,0,0,1,0,0,1,2,3,7,1,1,3,,0
76,59.166.0.7,54636,149.171.126.9,80,tcp,FIN,1.005955,1580,10168,31,29,3,5,http,11523.37891,76377.17188,12,18,255,255,887874437,3034257267,132,565,1,3924,9530.259811,7675.788920999999,1421927842,1421927843,91.41754499999999,59.141296,0.000685,0.00055,0.000135,0,0,1,0,0,2,1,6,2,1,1,1,,0
