srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
10,175.45.176.1,52726,149.171.126.13,80,tcp,FIN,0.513537,776,1284,62,252,2,2,http,10889.186520000001,18008.43945,10,10,255,255,1805425761,2068578368,78,128,1,196,3669.106673,100.935828,1421927425,1421927426,57.059667000000005,51.235,0.11663299999999999,0.051721,0.064912,0,1,1,0,0,3,2,1,1,1,1,1,Exploits,1
11,175.45.176.0,36918,149.171.126.17,80,tcp,FIN,0.911799,1506,141751,62,252,2,55,http,12713.32813,1232798.0,26,114,255,255,4284724779,2573573010,58,1243,1,68324,1938.616122,956.2477949999999,1421927427,1421927428,36.471959000000005,7.98477,0.018608,0.008915000000000001,0.009693,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
12,175.45.176.2,63163,149.171.126.11,8080,tcp,FIN,0.29039499999999996,1314,1172,254,252,3,2,http,33196.16406,28264.95117,12,8,255,255,2838465129,3955930954,110,147,2,0,1351.861513,58.209081999999995,1421927429,1421927429,25.254454,39.459,0.059184,0.014163999999999998,0.04502,0,1,1,0,0,2,1,1,1,1,1,1,Exploits,1
13,175.45.176.3,23776,149.171.126.12,80,tcp,FIN,0.195749,946,268,254,252,2,1,http,34820.10156,9154.581055,10,6,255,255,133666212,1554171262,95,45,1,0,1095.915568,64.667461,1421927430,1421927430,20.346,37.067398,0.057799,0.010401,0.047398,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
14,175.45.176.2,45388,149.171.126.18,80,tcp,FIN,0.18528599999999998,1144,268,254,252,2,1,http,44471.78906,9671.535156,10,6,255,255,200840729,2599924866,114,45,1,0,1009.797213,58.227897999999996,1421927431,1421927431,18.906778,34.48,0.060103,0.012869,0.047234,0,1,1,0,0,2,1,1,1,1,1,1,Exploits,1
15,175.45.176.1,12940,149.171.126.16,80,tcp,FIN,0.26827199999999995,878,1002,62,252,2,2,http,23588.0,26152.56055,10,8,255,255,1657065760,2730092963,88,125,1,78,1466.979442,53.908418000000005,1421927435,1421927435,29.808000000000003,37.050855,0.055113999999999996,0.008277,0.046837000000000004,0,1,1,0,0,3,1,1,1,1,1,1,DoS,1
16,175.45.176.3,26334,149.171.126.16,80,tcp,FIN,0.257718,798,5348,62,252,2,3,http,22318.96875,149434.6563,10,10,255,255,714980247,3840527734,80,535,1,2234,1361.329224,1908.7036699999999,1421927436,1421927436,28.635333000000003,27.355221999999998,0.057726,0.010819,0.046907,0,1,1,0,0,2,1,1,1,1,1,1,Exploits,1
17,175.45.176.3,31149,149.171.126.11,80,tcp,FIN,0.261421,840,1420,62,252,2,2,http,23135.09766,38038.26172,10,8,255,255,2108308069,1187700135,84,178,1,291,1431.872477,53.103469,1421927438,1421927438,29.046778000000003,36.294855,0.051533,0.006686,0.044847000000000005,0,1,1,0,0,2,1,1,1,1,1,1,Exploits,1
18,59.166.0.1,18694,149.171.126.0,80,tcp,FIN,2.234799,1052,824,31,29,2,2,http,3296.940918,2656.16748,8,10,255,255,3015623417,867124946,132,82,0,0,26615.32852,701.095063,1421927441,1421927443,319.156009,248.244219,0.000752,0.000593,0.00015900000000000002,0,0,0,0,0,3,6,9,6,3,1,1,,0
19,59.166.0.8,29249,149.171.126.6,80,tcp,FIN,2.006714,1052,824,31,29,2,2,http,3671.674072,2958.06958,8,10,255,255,3135630242,3136777788,132,82,0,0,23382.17365,623.002813,1421927441,1421927443,286.504277,222.90267200000002,0.0007559999999999999,0.000582,0.000174,0,0,0,0,0,5,4,8,5,5,1,2,,0
20,59.166.0.6,10963,149.171.126.4,80,tcp,FIN,4.503565,1052,824,31,29,2,2,http,1636.037231,1318.067017,8,10,255,255,1633526940,1634749453,132,82,0,0,53243.33316,1407.769125,1421927439,1421927443,643.061,500.333875,0.000712,0.000552,0.00016,0,0,0,0,0,4,3,3,4,4,1,1,,0
21,59.166.0.9,23654,149.171.126.6,80,tcp,FIN,3.846685,1052,824,31,29,2,2,http,1915.4155269999999,1543.1469730000001,8,10,255,255,2053527105,4200098327,132,82,0,0,45016.37805,1207.825375,1421927439,1421927443,549.471875,427.344,0.000735,0.0005809999999999999,0.000154,0,0,0,0,0,3,4,8,4,3,1,1,,0
22,59.166.0.0,61696,149.171.126.8,80,tcp,FIN,6.112835,1052,824,31,29,2,2,http,1205.332764,971.071533,8,10,255,255,733533789,2884200102,132,82,0,0,71089.99713999999,1918.7785,1421927437,1421927443,873.1099820000001,679.140688,0.000695,0.000539,0.000156,0,0,0,0,0,4,5,5,5,4,1,1,,0
23,59.166.0.3,37739,149.171.126.7,80,tcp,FIN,8.212166999999999,1052,824,31,29,2,2,http,897.205383,722.8299559999999,8,10,255,255,3890592149,3891641222,132,82,0,0,93930.05725,2524.1929999999998,1421927435,1421927443,1172.9686789999998,912.4036880000001,0.000666,0.000529,0.00013700000000000002,0,0,0,0,0,4,4,4,6,4,1,1,,0
24,59.166.0.0,47184,149.171.126.1,80,tcp,FIN,14.197116000000001,1052,824,31,29,2,2,http,518.9786379999999,418.113098,8,10,255,255,108494395,2259168986,132,82,0,0,169007.7226,4453.7095,1421927429,1421927443,2028.104286,1577.395625,0.000691,0.000551,0.00014,0,0,0,0,0,4,3,3,5,4,1,1,,0
25,59.166.0.2,24697,149.171.126.7,80,tcp,FIN,23.899174,1052,824,31,29,2,2,http,308.295166,248.376785,8,10,255,255,2880527051,2877475117,132,82,0,0,284734.3095,7502.456,1421927419,1421927443,3414.0575710000003,2655.39775,0.000727,0.000583,0.000144,0,0,0,0,0,6,4,4,7,6,1,2,,0
26,59.166.0.2,20446,149.171.126.8,80,tcp,FIN,28.12635,1052,824,31,29,2,2,http,261.960754,211.04763799999998,8,10,255,255,2628012507,479532670,132,82,0,0,332676.218,8743.158000000001,1421927415,1421927443,4017.865429,3125.08425,0.000755,0.000583,0.000172,0,0,0,0,0,6,5,5,7,6,1,1,,0
27,59.166.0.6,50089,149.171.126.9,80,tcp,FIN,28.680214000000003,1052,824,31,29,2,2,http,256.90185499999995,206.971954,8,10,255,255,4291299719,2147024129,132,82,0,0,342124.9889,9002.543,1421927414,1421927443,4097.085429,3186.62175,0.0007650000000000001,0.000608,0.000157,0,0,0,0,0,4,3,5,4,4,1,1,,0
28,59.166.0.0,6885,149.171.126.0,80,tcp,FIN,2.966982,1052,824,31,29,2,2,http,2483.331543,2000.686279,8,10,255,255,2595624169,2592556940,132,82,0,0,34180.02578,930.8371880000001,1421927440,1421927443,423.79386600000004,329.604438,0.0006889999999999999,0.000534,0.000155,0,0,0,0,0,4,6,9,5,4,1,1,,0
29,59.166.0.3,9246,149.171.126.8,80,tcp,FIN,2.809813,1052,824,31,29,2,2,http,2622.238525,2112.596191,8,10,255,255,506043945,507127613,132,82,0,0,33131.71219,879.6834369999999,1421927440,1421927443,401.23456200000004,312.139,0.0007030000000000001,0.000554,0.000149,0,0,0,0,0,4,5,5,6,4,1,2,,0
30,59.166.0.8,34443,149.171.126.7,80,tcp,FIN,6.091215,1052,824,31,29,2,2,http,1209.61084,974.5181880000001,8,10,255,255,2818913347,674577038,132,82,0,0,72142.82126,1905.209625,1421927437,1421927443,870.0999820000001,676.74925,0.00061,0.00046699999999999997,0.000143,0,0,0,0,0,5,4,4,5,5,1,1,,0
31,59.166.0.8,62042,149.171.126.5,80,tcp,FIN,7.647810000000001,1052,824,31,29,2,2,http,963.4130859999999,776.1699219999999,8,10,255,255,2041010314,4187551429,132,82,0,0,88050.59611,2360.78475,1421927436,1421927443,1092.383,849.696,0.000692,0.000538,0.000154,0,0,0,0,0,5,6,11,5,5,1,1,,0
32,59.166.0.1,50168,149.171.126.2,80,tcp,FIN,12.427999999999999,1052,824,31,29,2,2,http,592.854797,477.631134,8,10,255,255,3453880781,1309612590,132,82,0,0,144944.8282,3806.7035,1421927431,1421927443,1775.270857,1380.828875,0.000678,0.000535,0.000143,0,0,0,0,0,3,3,3,6,3,1,1,,0
33,59.166.0.5,43467,149.171.126.8,80,tcp,FIN,10.367127,1052,824,31,29,2,2,http,710.707947,572.579041,8,10,255,255,2446397423,302113882,132,82,0,0,122640.7179,3256.80425,1421927433,1421927443,1480.9585359999999,1151.843875,0.0006730000000000001,0.0005269999999999999,0.000146,0,0,0,0,0,3,5,5,5,3,1,1,,0
34,59.166.0.0,31813,149.171.126.2,80,tcp,FIN,10.929884,1052,824,31,29,2,2,http,674.1151120000001,543.098145,8,10,255,255,2206397966,62095877,132,82,0,0,127361.8745,3433.0265,1421927432,1421927443,1561.2610359999999,1214.372375,0.000668,0.000528,0.00014,0,0,0,0,0,4,3,3,5,4,1,1,,0
35,59.166.0.2,21003,149.171.126.9,80,tcp,FIN,22.198818,1052,824,31,29,2,2,http,331.909546,267.401611,8,10,255,255,3900525568,3897416293,132,82,0,0,264692.3325,6968.653,1421927421,1421927443,3171.130143,2466.475,0.0006730000000000001,0.000533,0.00014,0,0,0,0,0,6,3,5,7,6,1,1,,0
36,59.166.0.7,50602,149.171.126.0,80,tcp,FIN,21.873175,1052,824,31,29,2,2,http,336.850952,271.38266,8,10,255,255,4196332410,2052053413,132,82,0,0,258941.93,6871.3955,1421927421,1421927443,3124.416214,2430.28525,0.000741,0.000596,0.000145,0,0,0,0,0,4,6,9,5,4,1,1,,0
37,59.166.0.8,64516,149.171.126.2,80,tcp,FIN,20.457491,1052,824,31,29,2,2,http,360.161469,290.16265899999996,8,10,255,255,2828847588,684578295,132,82,0,0,242826.6267,6385.79,1421927423,1421927443,2922.419643,2272.99375,0.000688,0.000542,0.000146,0,0,0,0,0,5,3,3,5,5,1,1,,0
38,59.166.0.1,34663,149.171.126.5,80,tcp,FIN,20.853247,1052,824,31,29,2,2,http,353.326263,284.655914,8,10,255,255,503461168,504567587,132,82,0,0,246456.1634,6486.775,1421927422,1421927443,2978.852214,2316.96675,0.000685,0.000545,0.00014,0,0,0,0,0,3,6,11,6,3,1,4,,0
39,59.166.0.2,58325,149.171.126.0,80,tcp,FIN,27.442144,1052,824,31,29,2,2,http,268.492126,216.309631,8,10,255,255,2983815695,839524955,132,82,0,0,325628.07899999997,8612.739,1421927416,1421927443,3920.013286,3049.0605,0.00075,0.000587,0.00016299999999999998,0,0,0,0,0,6,6,9,7,6,1,2,,0
40,59.166.0.7,8200,149.171.126.4,80,tcp,FIN,26.605263,1052,824,31,29,2,2,http,276.937683,223.113754,8,10,255,255,3408009726,3409107063,132,82,0,0,317480.5092,8357.5975,1421927417,1421927443,3800.567,2956.07525,0.000743,0.000579,0.000164,0,0,0,0,0,4,3,3,5,4,1,1,,0
41,59.166.0.7,60165,149.171.126.6,80,tcp,FIN,2.252992,1052,824,31,29,2,2,http,3270.318115,2634.71875,8,10,255,255,3071430721,3076713824,132,82,0,0,24287.87389,643.86575,1421927441,1421927443,321.67258,250.268672,0.000721,0.000566,0.000155,0,0,0,0,0,4,4,8,5,4,1,1,,0
42,59.166.0.4,32481,149.171.126.5,80,tcp,FIN,10.782183999999999,1052,824,31,29,2,2,http,683.349548,550.537842,8,10,255,255,2266396864,122105182,132,82,0,0,128778.1494,3387.1755,1421927433,1421927443,1540.2466789999999,1197.96075,0.000672,0.000532,0.00014,0,0,0,0,0,2,6,11,5,2,1,1,,0
43,59.166.0.9,34127,149.171.126.1,80,tcp,FIN,9.960735000000001,1052,824,31,29,2,2,http,739.7044070000001,595.939941,8,10,255,255,601011051,2747556693,132,82,0,0,116400.1387,3128.86625,1421927433,1421927443,1422.865464,1106.686875,0.0007019999999999999,0.000545,0.000157,0,0,0,0,0,3,3,3,4,3,1,2,,0
44,59.166.0.4,22269,149.171.126.9,80,tcp,FIN,16.696325,1034,824,31,29,2,2,http,433.62835700000005,355.52734399999997,8,10,255,255,755978428,2906635059,129,82,0,0,198732.003,5239.1825,1421927426,1421927443,2385.135929,1855.08575,0.000686,0.0005480000000000001,0.000138,0,0,0,0,0,2,3,5,5,2,1,1,,0
45,59.166.0.3,10741,149.171.126.8,80,tcp,FIN,26.564103999999997,1052,824,31,29,2,2,http,277.36679100000003,223.459442,8,10,255,255,3468010495,3464923292,132,82,0,0,316109.4113,8346.7445,1421927417,1421927443,3794.723429,2951.5029999999997,0.00073,0.00057,0.00016,0,0,0,0,0,4,5,5,6,4,1,2,,0
46,59.166.0.6,50778,149.171.126.0,80,tcp,FIN,22.006037,1052,824,31,29,2,2,http,334.81723,269.744171,8,10,255,255,1870951435,1872040276,132,82,0,0,262242.1137,6909.7495,1421927421,1421927443,3143.414429,2445.05325,0.000691,0.00055,0.00014099999999999998,0,0,0,0,0,4,6,9,4,4,1,1,,0
47,59.166.0.2,1643,149.171.126.5,80,tcp,FIN,23.296978,1052,824,31,29,2,2,http,316.26419100000004,254.79699700000003,8,10,255,255,3240525783,1092062010,132,82,0,0,277694.9433,7313.3815,1421927420,1421927443,3328.060143,2588.4915,0.0006799999999999999,0.0005480000000000001,0.000132,0,0,0,0,0,6,6,11,7,6,1,1,,0
48,59.166.0.7,31613,149.171.126.5,80,tcp,FIN,1.542397,1052,824,31,29,2,2,http,4776.97998,3848.555176,8,10,255,255,3431429508,3432518453,132,82,0,0,17195.99066,484.031187,1421927442,1421927443,220.28057599999997,171.316219,0.000697,0.000543,0.000154,0,0,0,0,0,4,6,11,5,4,1,2,,0
49,59.166.0.8,2032,149.171.126.6,80,tcp,FIN,3.3697980000000003,1034,824,31,29,2,2,http,2148.496826,1761.529907,8,10,255,255,266043761,267118916,129,82,0,0,37415.68958,985.545,1421927440,1421927443,481.102411,374.36256299999997,0.000674,0.0005269999999999999,0.000147,0,0,0,0,0,5,4,8,5,5,1,2,,0
50,59.166.0.5,21542,149.171.126.4,80,tcp,FIN,16.867229000000002,1052,824,31,29,2,2,http,436.82336399999997,351.925018,8,10,255,255,2841366051,697104677,132,82,0,0,200049.585,5299.213000000001,1421927426,1421927443,2409.5445,1874.0715,0.000714,0.000572,0.00014199999999999998,0,0,0,0,0,3,3,3,5,3,1,1,,0
51,59.166.0.2,49150,149.171.126.7,80,tcp,FIN,6.700933999999999,1052,824,31,29,2,2,http,1099.548218,885.8466800000001,8,10,255,255,313527832,2464233551,132,82,0,0,79478.46048,2097.65,1421927436,1421927443,957.094536,744.485688,0.000713,0.000556,0.000157,0,0,0,0,0,6,4,4,7,6,1,2,,0
52,59.166.0.3,45797,149.171.126.3,80,tcp,FIN,15.715036999999999,1052,824,31,29,2,2,http,468.85031100000003,377.72738599999997,8,10,255,255,1415977235,1417017768,132,82,0,0,187700.2017,4937.5425,1421927428,1421927443,2244.854214,1746.0545,0.000684,0.000542,0.00014199999999999998,0,0,0,0,0,4,1,1,6,4,1,1,,0
53,59.166.0.5,10230,149.171.126.0,80,tcp,FIN,11.88349,1052,824,31,29,2,2,http,620.019897,499.516571,8,10,255,255,1488495036,3639205733,132,82,0,0,141470.8581,3725.744,1421927431,1421927443,1697.57675,1320.328625,0.000666,0.0005269999999999999,0.000139,0,0,0,0,0,3,6,9,5,3,1,1,,0
54,59.166.0.9,54017,149.171.126.1,80,tcp,FIN,12.394734,1052,824,31,29,2,2,http,594.445984,478.913055,8,10,255,255,1188493536,1189704778,132,82,0,0,147409.2728,3886.695,1421927431,1421927443,1770.58025,1377.134,0.000665,0.0005200000000000001,0.000145,0,0,0,0,0,3,3,3,4,3,1,2,,0
55,59.166.0.6,14412,149.171.126.5,80,tcp,FIN,11.651845,1052,824,31,29,2,2,http,632.346191,509.447205,8,10,255,255,3813880384,1669596641,132,82,0,0,138995.7628,3660.665,1421927432,1421927443,1664.472607,1294.58775,0.000699,0.00055,0.000149,0,0,0,0,0,4,6,11,4,4,1,1,,0
56,59.166.0.0,2639,149.171.126.0,80,tcp,FIN,14.255907,1052,824,31,29,2,2,http,516.838379,416.388794,8,10,255,255,168494131,169637783,132,82,0,0,168053.2869,4477.9385,1421927429,1421927443,2036.389357,1583.9285,0.0006900000000000001,0.000545,0.000145,0,0,0,0,0,6,8,16,7,6,1,1,,0
57,59.166.0.4,22336,149.171.126.6,80,tcp,FIN,0.174755,1052,824,31,29,2,2,http,42161.88281,33967.55469,8,10,255,255,2066043100,4212522091,132,82,1,83,1555.188601,44.913004,1421927443,1421927443,24.809142,19.354666,0.0007030000000000001,0.0005549999999999999,0.000148,0,0,1,0,0,5,6,7,8,5,1,3,,0
58,59.166.0.3,14306,149.171.126.7,80,tcp,FIN,23.027060000000002,1052,824,31,29,2,2,http,319.971375,257.783661,8,10,255,255,3596333523,1452017516,132,82,0,0,270392.7567,7105.8055,1421927420,1421927443,3275.290286,2558.501,0.000675,0.000538,0.00013700000000000002,0,0,0,0,0,9,3,4,10,8,1,2,,0
59,59.166.0.2,30266,149.171.126.3,80,tcp,FIN,25.474094,1052,824,31,29,2,2,http,289.23501600000003,233.021042,8,10,255,255,4183814172,2039528633,132,82,0,0,301716.6581,8002.4005,1421927418,1421927443,3638.7118570000002,2830.39,0.000726,0.000575,0.000151,0,0,0,0,0,2,4,6,7,2,1,1,,0
60,59.166.0.3,58220,149.171.126.4,80,tcp,FIN,25.376248999999998,1052,824,31,29,2,2,http,290.35025,233.919525,8,10,255,255,4123814247,1979526970,132,82,0,0,302589.8961,7964.8615,1421927418,1421927443,3624.858143,2819.5205,0.000718,0.000558,0.00016,0,0,0,0,0,9,4,5,10,8,1,2,,0
61,59.166.0.5,6645,149.171.126.2,80,tcp,FIN,29.268065999999997,1052,824,31,29,2,2,http,251.74194300000002,202.814896,8,10,255,255,1914245977,4060854914,132,82,0,0,349700.7664,9196.527,1421927414,1421927443,4181.063143,3251.9390000000003,0.0007740000000000001,0.000604,0.00016999999999999999,0,0,0,0,0,6,10,7,4,4,1,1,,0
62,59.166.0.3,6051,149.171.126.8,80,tcp,FIN,26.991115999999998,1052,824,31,29,2,2,http,272.978699,219.924225,8,10,255,255,1138430365,1139528319,132,82,0,0,319680.6054,8470.284,1421927416,1421927443,3855.7194289999998,2998.947,0.000742,0.000584,0.00015800000000000002,0,0,0,0,0,9,6,5,10,8,1,2,,0
63,59.166.0.8,24415,149.171.126.1,80,tcp,FIN,2.012737,1052,824,31,29,2,2,http,3660.686768,2949.217773,8,10,255,255,3195623742,1047152027,132,82,0,0,23926.44354,631.314438,1421927441,1421927443,287.378134,223.57689100000002,0.0006929999999999999,0.000537,0.000156,0,0,0,0,0,4,2,3,3,3,1,1,,0
64,59.166.0.0,47744,149.171.126.8,80,tcp,FIN,9.113057000000001,1052,824,31,29,2,2,http,808.510254,651.3730469999999,8,10,255,255,1081016298,1082089395,132,82,0,0,108770.9068,2862.297,1421927434,1421927443,1301.687964,1012.501125,0.000685,0.000542,0.000143,0,0,0,0,0,6,6,5,7,6,1,1,,0
65,59.166.0.7,64065,149.171.126.3,80,tcp,FIN,11.38493,1052,824,31,29,2,2,http,647.171326,521.390991,8,10,255,255,3938074693,3934936921,132,82,0,0,135260.1444,3569.34025,1421927432,1421927443,1626.326857,1264.933,0.000665,0.000528,0.00013700000000000002,0,0,0,0,0,4,4,6,9,4,1,4,,0
66,59.166.0.5,34360,149.171.126.9,80,tcp,FIN,13.468126999999999,1052,824,31,29,2,2,http,547.069397,440.744263,8,10,255,255,588493881,2735070504,132,82,0,0,159722.0702,4231.306,1421927430,1421927443,1923.949786,1496.395625,0.000737,0.0005610000000000001,0.000176,0,0,0,0,0,6,4,3,4,4,1,1,,0
67,59.166.0.3,48463,149.171.126.4,80,tcp,FIN,16.012999,1052,824,31,29,2,2,http,460.12619000000007,370.698853,8,10,255,255,1235979060,3382430571,132,82,0,0,189170.2003,5030.467000000001,1421927427,1421927443,2287.4190710000003,1779.1615,0.0006799999999999999,0.000539,0.00014099999999999998,0,0,0,0,0,9,4,5,10,8,1,2,,0
68,59.166.0.1,26232,149.171.126.4,80,tcp,FIN,24.033424,1052,824,31,29,2,2,http,306.573029,246.98934900000003,8,10,255,255,790945882,792014234,132,82,0,0,284093.4627,7551.6205,1421927419,1421927443,3433.288286,2670.3165,0.000712,0.0005650000000000001,0.000147,0,0,0,0,0,7,4,5,8,6,1,1,,0
69,59.166.0.1,50815,149.171.126.0,80,tcp,FIN,27.092768,1052,824,31,29,2,2,http,271.954498,219.09906,8,10,255,255,958428266,959471661,132,82,0,0,322899.4759,8505.957,1421927416,1421927443,3870.3162859999998,3010.2459999999996,0.000665,0.000544,0.000121,0,0,0,0,0,7,8,16,8,6,2,2,,0
70,59.166.0.0,3231,149.171.126.5,80,tcp,FIN,28.78933,1052,824,31,29,2,2,http,255.92816200000001,206.1875,8,10,255,255,2085914282,2086984013,132,82,0,0,343261.8686,9038.662,1421927414,1421927443,4112.567143,3198.74975,0.000731,0.000571,0.00016,0,0,0,0,0,6,4,10,7,6,1,2,,0
71,59.166.0.0,57998,149.171.126.2,80,tcp,FIN,1.7520099999999998,1052,824,31,29,2,2,http,4205.455566,3388.108643,8,10,255,255,3315624083,3316685535,132,82,0,0,19535.05558,549.666438,1421927441,1421927443,250.235429,194.611781,0.000628,0.000496,0.000132,0,0,0,0,0,6,10,7,7,6,1,2,,0
72,59.166.0.5,39375,149.171.126.6,80,tcp,FIN,5.0423230000000006,1052,824,31,29,2,2,http,1461.231201,1177.235107,8,10,255,255,1333534619,3484207504,132,82,0,0,59192.79187000001,1583.9535,1421927438,1421927443,720.277143,560.196875,0.0007030000000000001,0.000543,0.00016,0,0,0,0,0,6,6,7,4,4,1,2,,0
73,59.166.0.4,1822,149.171.126.0,80,tcp,FIN,19.05183,1052,824,31,29,2,2,http,386.73449700000003,311.571106,8,10,255,255,1523468486,1524630880,132,82,0,0,226093.0139,5986.259,1421927424,1421927443,2721.580786,2116.80925,0.000683,0.000538,0.000145,0,0,0,0,0,5,8,16,8,5,1,1,,0
74,59.166.0.3,21777,149.171.126.2,80,tcp,FIN,20.291468,1052,824,31,29,2,2,http,363.108276,292.536743,8,10,255,255,2893041425,2889950162,132,82,0,0,241769.2132,6368.1995,1421927423,1421927443,2898.695,2254.5475,0.000669,0.000531,0.000138,0,0,0,0,0,9,10,7,10,8,1,1,,0
75,59.166.0.3,35730,149.171.126.8,80,tcp,FIN,20.933847,1052,824,31,29,2,2,http,351.965881,283.559906,8,10,255,255,443461976,444641122,132,82,0,0,248097.4897,6912.095,1421927422,1421927443,2990.473357,2616.6605,0.0006929999999999999,0.000556,0.00013700000000000002,0,0,0,0,0,9,6,5,10,8,1,2,,0
76,59.166.0.7,16315,149.171.126.3,80,tcp,FIN,21.034044,1052,824,31,29,2,2,http,350.289276,282.209167,8,10,255,255,323467630,324540409,132,82,0,0,250267.8169,6609.496999999999,1421927422,1421927443,3004.773286,2337.05375,0.0007030000000000001,0.000557,0.000146,0,0,0,0,0,4,4,6,9,4,1,4,,0
77,59.166.0.0,11654,149.171.126.5,80,tcp,FIN,26.464136,1052,824,31,29,2,2,http,278.41452000000004,224.303558,8,10,255,255,3523815211,1379612468,132,82,0,0,314972.088,8315.2745,1421927417,1421927443,3780.422857,2940.39425,0.000718,0.0005809999999999999,0.00013700000000000002,0,0,0,0,0,6,4,10,7,6,1,2,,0
