srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.8,40224,149.171.126.2,14384,tcp,FIN,1.005691,1684,10168,31,29,3,5,http,12441.19629,76397.21875,14,18,255,255,2666343132,517761670,120,565,1,3924,8765.587889,7674.470306,1421927598,1421927599,77.334387,59.128412,0.000628,0.000504,0.000124,0,0,1,0,0,1,2,1,3,1,1,1,,0
59.166.0.7,42363,149.171.126.8,2.28E+11,tcp,FIN,0.041886,5174,83812,31,29,7,39,-,977319.375,15833643,90,92,255,255,3446342405,3446649759,57,911,0,0,25.106484,24.546148,1421927599,1421927599,0.472375,0.45378,0.000746,0.000581,0.000165,0,0,0,0,0,12,11,2,4,1,1,1,,0
59.166.0.7,52220,149.171.126.4,2.29E+11,tcp,FIN,0.029229,4014,59460,31,29,7,28,-,1082486.625,16041876,68,70,255,255,3266343420,1127715237,59,849,0,0,0,22.399062,1421927599,1421927599,0.430731,0.415304,0.000702,0.000569,0.000133,0,0,0,0,0,12,12,3,4,1,1,1,,0
59.166.0.3,31746,149.171.126.1,2.20E+11,tcp,FIN,0.04005,5174,83812,31,29,7,39,-,1022122.375,16559501,90,92,255,255,1176759848,3322402730,57,911,0,0,0,23.140016,1421927599,1421927599,0.44573,0.43378,0.000728,0.000573,0.000155,0,0,0,0,0,6,8,2,2,1,1,1,,0
59.166.0.9,55718,149.171.126.4,12850,tcp,FIN,0.349337,9504,12298,31,29,26,31,ssh,215631.3125,279180.2813,108,114,255,255,3142146271,997046971,88,108,0,0,200.454299,0,1421927599,1421927599,3.26114,3.114411,0.00064,0.000513,0.000127,0,0,0,0,0,2,1,3,1,1,1,1,,0
59.166.0.1,23606,149.171.126.4,2.16E+11,tcp,FIN,0.371758,4264,3080,31,29,7,7,-,88487.67188,64084.69922,28,30,255,255,2962151145,3053987339,152,103,0,0,714.387493,17.515506,1421927598,1421927599,13.755,12.799966,0.00069,0.000556,0.000134,0,0,0,0,0,9,12,3,1,1,1,1,,0
59.166.0.5,48737,149.171.126.7,959722804,tcp,FIN,0.015944,2974,30506,31,29,7,18,-,1461615.625,15000501,48,50,255,255,3506340923,1357101295,62,610,0,0,18.618048,17.693055,1421927599,1421927599,0.331596,0.311755,0.000826,0.000657,0.000169,0,0,0,0,0,7,6,2,2,1,1,1,,0
59.166.0.6,61431,149.171.126.3,892418352,tcp,FIN,0.004419,1470,1728,31,29,5,4,-,2541751.5,2905634.75,22,14,255,255,3086341876,3086631429,67,123,0,0,12.929496,0.373133,1421927599,1421927599,0.210429,0.286692,0.000705,0.000554,0.000151,0,0,0,0,0,11,8,3,2,1,1,1,,0
59.166.0.8,45434,149.171.126.1,13619,udp,CON,0.00104,146,178,31,29,0,0,dns,561538.4375,684615.375,2,2,0,0,0,0,73,89,0,0,0,0,1421927599,1421927599,0.037,0.007,0,0,0,0,0,0,0,0,3,4,2,3,1,1,1,,0
59.166.0.3,33383,149.171.126.8,2.28E+11,tcp,FIN,0.011812,2438,19266,31,29,7,13,-,1607856.5,12722655,38,40,255,255,1176763457,3350697558,64,482,0,0,18.281573,18.110991,1421927599,1421927599,0.310649,0.288846,0.000696,0.000541,0.000155,0,0,0,0,0,6,11,2,2,1,1,1,,0
59.166.0.4,27835,149.171.126.7,13619,udp,CON,0.001019,146,178,31,29,0,0,dns,573110.9375,698724.25,2,2,0,0,0,0,73,89,0,0,0,0,1421927599,1421927599,0.01,0.006,0,0,0,0,0,0,0,0,4,3,2,1,1,1,1,,0
59.166.0.7,29088,149.171.126.0,2.29E+11,tcp,FIN,0.017638,2974,30506,31,29,7,18,-,1321238.25,13559814,48,50,255,255,1116759361,3266637938,62,610,0,0,20.309588,19.332195,1421927599,1421927599,0.368255,0.355104,0.000738,0.000583,0.000155,0,0,0,0,0,12,1,1,4,1,1,1,,0
59.166.0.8,9112,149.171.126.9,12853,tcp,FIN,0.022327,37372,3380,31,29,18,8,smtp,13133515,1182424.875,52,42,255,255,3626343766,1477777251,719,80,0,0,23.348909,0.966098,1421927599,1421927599,0.430706,0.531146,0.000716,0.000546,0.00017,0,0,0,0,0,1,1,2,3,1,1,1,,0
59.166.0.6,43397,149.171.126.9,13619,udp,CON,0.001051,130,162,31,29,0,0,dns,494766.9063,616555.6875,2,2,0,0,0,0,65,81,0,0,0,0,1421927599,1421927599,0.01,0.006,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,,0
59.166.0.7,9633,149.171.126.3,2.24E+11,tcp,FIN,0.010903,2438,19266,31,29,7,13,-,1741905.875,13783363,38,40,255,255,1296768778,1322270596,64,482,0,0,17.392567,16.217846,1421927599,1421927599,0.285784,0.265462,0.000691,0.000544,0.000147,0,0,0,0,0,12,8,3,4,1,1,1,,0
59.166.0.5,34377,149.171.126.7,892418352,tcp,FIN,0.004756,1470,1728,31,29,5,4,-,2361648.5,2699747.75,22,14,255,255,1716759883,3866715009,67,123,0,0,13.992127,0.403009,1421927600,1421927600,0.226476,0.305,0.000784,0.000656,0.000128,0,0,0,0,0,7,6,1,5,1,1,1,,0
59.166.0.5,39734,149.171.126.2,2.24E+11,tcp,FIN,0.040284,5174,83812,31,29,7,39,-,1016185.063,16463310,90,92,255,255,3742145128,1597041653,57,911,0,0,23.262939,22.724278,1421927600,1421927600,0.453773,0.436538,0.000696,0.000549,0.000147,0,0,0,0,0,7,3,3,5,1,1,2,,0
59.166.0.9,25369,149.171.126.3,12849,tcp,FIN,0.022097,2934,3742,31,29,11,15,ftp,1041951.375,1329773.25,52,54,255,255,2016763125,2017800112,56,69,0,0,29.531858,0.701031,1421927600,1421927600,0.427098,0.406358,0.000711,0.000556,0.000155,0,0,0,1,1,2,2,5,7,1,1,5,,0
59.166.0.9,55134,149.171.126.3,2.16E+11,tcp,FIN,0.046339,320,1826,31,29,1,2,ftp-data,46095.08203,275879.9063,6,8,255,255,4226344488,2090110361,53,228,0,0,638.71622,15.620363,1421927600,1421927600,9.1656,6.546286,0.00065,0.000511,0.000139,0,0,0,0,0,6,6,5,7,2,1,5,,0
59.166.0.9,60717,149.171.126.6,13619,udp,CON,0.001085,130,162,31,29,0,0,dns,479262.6875,597235,2,2,0,0,0,0,65,81,0,0,0,0,1421927600,1421927600,0.01,0.009,0,0,0,0,0,0,0,0,4,1,2,7,2,1,1,,0
59.166.0.8,20404,149.171.126.1,3224627,tcp,FIN,1.825752,7816,15092,31,29,30,32,-,33967.375,65608.03125,122,126,255,255,756763012,765053797,64,120,0,0,1044.118234,1027.731521,1421927598,1421927600,15.08576,14.600184,0.000885,0.000727,0.000158,0,0,0,0,0,2,8,5,1,1,1,1,,0
59.166.0.9,28410,149.171.126.3,2.16E+11,tcp,FIN,0.003847,8928,424,31,29,4,1,ftp-data,17241488,771510.25,14,8,255,255,4162152938,4177071608,638,53,0,0,18.173842,0.712454,1421927600,1421927600,0.295923,0.451571,0.000651,0.000521,0.00013,0,0,0,0,0,6,6,5,7,1,1,5,,0
59.166.0.9,26360,149.171.126.3,2.16E+11,tcp,FIN,0.00296,320,1826,31,29,1,2,ftp-data,721621.625,4318919,6,8,255,255,2016764348,4165985361,53,228,0,0,29.808372,0.566281,1421927600,1421927600,0.528,0.354286,0.00061,0.000477,0.000133,0,0,0,0,0,6,6,5,7,2,1,5,,0
59.166.0.5,11505,149.171.126.6,2.20E+11,tcp,FIN,0.010883,2438,19266,31,29,7,13,-,1745107.125,13808693,38,40,255,255,3742148246,1621294686,64,482,0,0,16.237788,14.835672,1421927600,1421927600,0.284351,0.2715,0.000698,0.000563,0.000135,0,0,0,0,0,7,3,2,5,1,1,1,,0
59.166.0.1,37389,149.171.126.1,892418352,tcp,FIN,0.008894,1470,1728,31,29,5,4,-,1262873.875,1443669.875,22,14,255,255,3922145637,1777086928,67,123,0,0,32.608948,1.382359,1421927600,1421927600,0.423524,0.624692,0.000795,0.000638,0.000157,0,0,0,0,0,9,8,5,1,1,1,1,,0
59.166.0.5,45787,149.171.126.0,13619,udp,CON,0.001081,146,178,31,29,0,0,dns,540240.5625,658649.4375,2,2,0,0,0,0,73,89,0,0,0,0,1421927600,1421927600,0.033,0.009,0,0,0,0,0,0,0,0,1,3,2,5,1,1,1,,0
59.166.0.2,54100,149.171.126.0,12850,tcp,FIN,0.489871,5928,8010,31,29,14,17,ssh,95257.73438,128556.2969,62,58,255,255,3382145939,1237042269,96,138,0,0,487.22147,0,1421927599,1421927600,8.030672,8.582386,0.000677,0.00054,0.000137,0,0,0,0,0,1,1,2,2,1,1,1,,0
59.166.0.0,60086,149.171.126.8,892418352,tcp,FIN,0.004449,1470,1728,31,29,5,4,-,2524612.25,2886041.75,22,14,255,255,1956759982,1957075011,67,123,0,0,13.012751,0.377674,1421927600,1421927600,0.211857,0.286769,0.000741,0.000583,0.000158,0,0,0,0,0,3,11,1,1,1,1,1,,0
59.166.0.4,29547,149.171.126.2,14384,tcp,FIN,1.005728,1580,10168,31,29,3,5,http,11525.97949,76394.41406,12,18,255,255,1056763130,3207324697,132,565,1,3924,9529.525745,7673.904055,1421927599,1421927600,91.397999,59.131647,0.000635,0.000486,0.000149,0,0,1,0,0,1,2,3,2,1,1,1,,0
59.166.0.2,23467,149.171.126.1,13619,udp,CON,0.001091,146,178,31,29,0,0,dns,535288.6875,652612.25,2,2,0,0,0,0,73,89,0,0,0,0,1421927600,1421927600,0.01,0.009,0,0,0,0,0,0,0,0,1,4,5,2,1,1,1,,0
59.166.0.4,64176,149.171.126.1,13619,udp,CON,0.001047,130,162,31,29,0,0,dns,496657.0938,618911.125,2,2,0,0,0,0,65,81,0,0,0,0,1421927600,1421927600,0.011,0.008,0,0,0,0,0,0,0,0,4,4,5,2,1,1,1,,0
59.166.0.5,41771,149.171.126.2,12850,tcp,FIN,0.106834,3728,5474,31,29,7,7,ssh,270475.6875,392833.75,32,24,255,255,3806340014,3806624197,117,228,0,0,345.49914,11.880635,1421927600,1421927600,3.446258,4.614565,0.000694,0.000551,0.000143,0,0,0,0,0,1,1,3,5,1,1,2,,0
59.166.0.9,54932,149.171.126.3,2.11E+11,tcp,FIN,0.004498,424,8824,31,29,1,4,ftp-data,659848.875,14386839,8,12,255,255,4162151793,4169266685,53,735,0,0,36.398846,20.536831,1421927600,1421927600,0.597143,0.363727,0.000664,0.000493,0.000171,0,0,0,0,0,6,6,5,7,1,1,5,,0
59.166.0.9,61480,149.171.126.1,13619,udp,CON,0.001045,130,162,31,29,0,0,dns,497607.625,620095.6875,2,2,0,0,0,0,65,81,0,0,0,0,1421927600,1421927600,0.01,0.008,0,0,0,0,0,0,0,0,4,4,5,7,2,1,1,,0
175.45.176.1,1918,149.171.126.10,14384,tcp,FIN,0.588697,2050,101920,62,252,2,39,http,26472.02148,1368541,20,84,255,255,2880777572,273221130,103,1213,1,48874,2265.744413,1225.113804,1421927599,1421927600,30.984053,6.656301,0.079465,0.020632,0.058833,0,1,1,0,0,1,1,1,1,1,1,1,Generic,1
175.45.176.3,10905,149.171.126.11,825831472,udp,INT,0.000012,1324,0,254,0,0,0,-,441333312,0,2,0,0,0,0,0,662,0,0,0,0,0,1421927600,1421927600,0.012,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Exploits,1
59.166.0.7,13169,149.171.126.9,2.11E+11,tcp,FIN,0.004827,4528,2456,31,29,7,7,-,7088460.5,3845038.25,18,18,255,255,529280408,532283830,252,136,0,0,13.143301,0.327289,1421927601,1421927601,0.265647,0.252059,0.000671,0.000538,0.000133,0,0,0,0,0,12,7,3,6,1,1,3,,0
59.166.0.9,28986,149.171.126.3,2.16E+11,tcp,FIN,0.04875,8928,320,31,29,4,1,ftp-data,1360574.375,43815.38672,14,6,255,255,2076765208,2385463235,638,53,0,0,401.494089,18.725447,1421927601,1421927601,3.75,9.6108,0.000665,0.00053,0.000135,0,0,0,0,0,6,6,5,4,1,1,4,,0
59.166.0.2,26276,149.171.126.7,14384,tcp,FIN,1.005764,1580,10168,31,29,3,5,http,11525.56641,76391.67969,12,18,255,255,4046348238,4047444548,132,565,1,3924,9530.596354,7675.880838,1421927600,1421927601,91.401094,59.129764,0.000731,0.000553,0.000178,0,0,1,0,0,1,1,3,2,1,1,1,,0
59.166.0.1,53889,149.171.126.1,2.20E+11,tcp,FIN,0.138072,2974,30506,31,29,7,18,-,168781.5,1732197.75,48,50,255,255,169275663,169582423,62,610,0,0,195.653656,191.139067,1421927601,1421927601,2.931021,2.805245,0.000735,0.000582,0.000153,0,0,0,0,0,9,8,3,2,1,1,1,,0
59.166.0.3,49646,149.171.126.1,12850,tcp,FIN,0.019507,9400,12298,31,29,26,31,ssh,3818936.75,4999641,106,114,255,255,2434662788,289587052,89,108,0,0,11.296169,10.802213,1421927601,1421927601,0.182848,0.170495,0.000728,0.000571,0.000157,0,0,0,0,0,1,1,3,1,1,1,1,,0
59.166.0.9,61854,149.171.126.3,3224627,tcp,FIN,2.069812,7816,15092,31,29,30,32,-,29962.14063,57871.92188,122,126,255,255,876762999,883745309,64,120,0,0,1038.245284,1025.471308,1421927598,1421927601,17.103042,16.554103,0.000697,0.000543,0.000154,0,0,0,0,0,2,8,5,4,1,1,4,,0
59.166.0.0,56738,149.171.126.4,2.16E+11,tcp,FIN,0.011609,2438,19266,31,29,7,13,-,1635972.125,12945129,38,40,255,255,4286343796,14428660,64,482,0,0,17.887535,17.043952,1421927601,1421927601,0.305243,0.281769,0.000759,0.000616,0.000143,0,0,0,0,0,3,12,4,2,1,1,1,,0
59.166.0.4,42253,149.171.126.7,13619,udp,CON,0.001068,146,178,31,29,0,0,dns,546816.5,666666.6875,2,2,0,0,0,0,73,89,0,0,0,0,1421927601,1421927601,0.011,0.009,0,0,0,0,0,0,0,0,4,3,3,1,1,1,1,,0
59.166.0.7,32461,149.171.126.6,2.20E+11,tcp,FIN,0.201104,4014,59460,31,29,7,28,-,157331.5313,2331569.75,68,70,255,255,2258860226,2322830473,59,849,0,0,0,200.805438,1421927601,1421927601,2.996418,2.906768,0.000686,0.000533,0.000153,0,0,0,0,0,12,3,1,6,1,1,1,,0
59.166.0.7,52124,149.171.126.4,2.28E+11,tcp,FIN,0.106016,2974,30506,31,29,7,18,-,219815.875,2255961.25,48,50,255,255,109275796,2259164050,62,610,0,0,140.793459,136.811941,1421927601,1421927601,2.248277,2.152082,0.000708,0.000554,0.000154,0,0,0,0,0,12,12,4,6,1,1,1,,0
59.166.0.1,47122,149.171.126.4,2.28E+11,tcp,FIN,0.171718,4014,59460,31,29,7,28,-,184255.5781,2730569.75,68,70,255,255,2318859770,252445903,59,849,0,0,153.340856,151.816026,1421927601,1421927601,2.558194,2.48158,0.000611,0.000485,0.000126,0,0,0,0,0,9,12,4,2,1,1,1,,0
59.166.0.6,58273,149.171.126.7,2.16E+11,tcp,FIN,0.097037,5174,83812,31,29,7,39,-,421859.6875,6834588.5,90,92,255,255,49275389,49573185,57,911,0,0,67.090542,66.09884,1421927601,1421927601,1.086697,1.060615,0.000642,0.000511,0.000131,0,0,0,0,0,11,6,3,2,1,1,1,,0
59.166.0.7,44820,149.171.126.1,892418352,tcp,FIN,0.004176,1470,1728,31,29,5,4,-,2689655,3074712.5,22,14,255,255,2614662719,469505558,67,123,0,0,0,0.363677,1421927601,1421927601,0.198857,0.273077,0.000607,0.000484,0.000123,0,0,0,0,0,12,8,3,6,1,1,1,,0
59.166.0.6,51727,149.171.126.3,2.16E+11,tcp,FIN,0.058844,2438,19266,31,29,7,13,-,322751.6875,2553871.25,38,40,255,255,49278871,2253272036,64,482,0,0,92.059422,90.095383,1421927601,1421927601,1.581514,1.493795,0.000742,0.000583,0.000159,0,0,0,0,0,11,8,5,2,1,1,1,,0
59.166.0.7,41736,149.171.126.9,2.20E+11,udp,CON,0.001715,528,304,31,29,0,0,-,1847230.25,1063556.875,4,4,0,0,0,0,132,76,0,0,0.607404,0.310185,1421927601,1421927601,0.433,0.221333,0,0,0,0,0,0,0,0,12,7,3,6,1,1,3,,0
59.166.0.9,28248,149.171.126.3,2.11E+11,tcp,FIN,0.223697,424,8824,31,29,1,4,ftp-data,13267.94727,289284.1563,8,12,255,255,4226345282,34293493,53,735,0,0,2157.952642,1718.707812,1421927601,1421927601,31.900429,20.289182,0.000646,0.000512,0.000134,0,0,0,0,0,6,6,5,4,1,1,4,,0
59.166.0.9,54288,149.171.126.3,12849,tcp,FIN,0.845831,2934,3742,31,29,11,15,ftp,27220.56836,34739.80078,52,54,255,255,2076762590,2077823017,56,69,0,0,1572.326639,52.645719,1421927600,1421927601,16.578293,15.948283,0.000751,0.000568,0.000183,0,0,0,1,1,2,2,5,4,1,1,4,,0
59.166.0.0,54880,149.171.126.5,2.11E+11,tcp,FIN,0.04126,5174,83812,31,29,7,39,-,992147.375,16073873,90,92,255,255,2136759707,2137087512,57,911,0,0,23.817342,23.459867,1421927601,1421927601,0.459539,0.446571,0.000765,0.000611,0.000154,0,0,0,0,0,3,1,1,2,1,1,1,,0
59.166.0.7,10411,149.171.126.9,3223857,udp,CON,0.004431,568,312,31,29,0,0,-,769126.625,422478,4,4,0,0,0,0,142,78,0,0,1.667122,1.405964,1421927601,1421927601,1.182333,1.001667,0,0,0,0,0,0,0,0,12,7,3,6,1,1,3,,0
59.166.0.5,39273,149.171.126.4,14384,tcp,FIN,1.004642,1580,10168,31,29,3,4,http,11538.43848,76476.99219,12,18,255,255,3686342493,1537836162,132,565,1,0,9527.811955,7674.160002,1421927600,1421927601,91.299276,59.062647,0.000758,0.000572,0.000186,0,0,1,0,0,1,1,4,1,1,1,1,,0
59.166.0.2,33409,149.171.126.8,892418352,tcp,FIN,0.079929,1470,1728,31,29,5,4,-,140524.7188,160642.5625,22,14,255,255,2374662033,229602535,67,123,0,0,397.750804,14.957583,1421927601,1421927601,3.806143,6.090308,0.000813,0.000617,0.000196,0,0,0,0,0,5,11,1,2,1,1,1,,0
